image,caption
1_swan.jpg,this is a close up of a white swan with a black head and orange beak in a body of water
6_swan.jpg,there is a white bird that is standing in the grass near a body of water with ducks behind it
3_swan.jpg,there are two swans swimming in the water together on a sunny day and one is looking at the camera
2_swan.jpg,there are two swans that are swimming in a body of water with one of them looking at the camera
18_swan.jpg,there are two white swans swimming in a body of water with rocks on the other side of the water
16_swan.jpg,there is a close up of a duck's head and neck with a blurry image in the background
13_swan.jpg,this is a picture of a white swan swimming in a body of water with reeds in the background
7_swan.jpg,there is a bird that is flying in the sky with it's wings spread out to the side
10_swan.jpg,there is a bird that is standing in the water with it's head turned to the side
11_swan.jpg,there is a bird that is flying in the sky with it's wings spread out to the side
