image,caption
2_dog.jpg,"there is a black and white dog standing in the middle of a dirt road and looking up at the sky with his head tilted to the right of the camera, with its mouth open mouth and mouth wide open, and his tongue out, his mouth, wide wide, looking to his ears are wide"
9_dog.jpg,"there is a black and white dog running in a field with a frisbee in it's mouth and a green field in the back ground with grass in front of it and trees behind it, and behind him, there are green grass, a blue sky and yellow and green, with trees"
11_dog.jpg,"there is a black and white dog standing in front of a tree with it's mouth open and its tongue hanging out and tongue out, with its mouth wide open, looking at the camera to the other dog is in the foreground with a blurred background of the trees and a blurry background"
5_dog.jpg,"there is a dog that is laying in the grass with a frisbee in it's mouth and a black and white dog on the other dog is looking at the camera and black dog with the same side of the picture with his head and the dog in front of it, and behind him"
4_dog.jpg,"there is a dog that is standing in the grass with its tongue out and it's tongue hanging out to the side of the dog, looking at the camera, with a mountain behind him, and trees and a forest behind it is green grass and green hills and blue sky with trees in background"
12_dog.jpg,"there is a black and white dog sitting on a pile of hay with a frisbee in it's mouth and a fence in the back ground next to the other side of the dog, behind it, there are some grass and some bushes and trees and bushes, a wire fence, and grass"
13_dog.jpg,"there is a dog that is standing in the grass with a frisbee in it's mouth and a black and white dog on a leash on the ground in front of the other side of it, and behind him, behind it is the dog, a house, with trees and the house"
15_dog.jpg,"there is a black and white dog that is standing in a field of grass with yellow dandelions in the background and a picture of the dog's face is looking at the camera with his left side and right side to the other side of his right, with its mouth open mouth and left"
16_dog.jpg,"there is a black and white dog that is standing in a field of grass with yellow flowers on the other side of the dog's head and it is looking at the camera with a big, with his mouth open wide open mouth and a smile, and his tongue out, his eyes wide,"
17_dog.jpg,"there is a black and white dog that is standing in the grass with a frisbee in it's mouth and a blurry background behind the dog is another dog with trees and bushes and grass behind it, and trees, behind him, there are a field, a fence, with no leaves"
