image,caption
5_dog.jpg,there is a dog that is laying in the grass with a frisbee in it's mouth
15_dog.jpg,there is a black and white dog that is standing in a field of green grass and yellow flowers
17_dog.jpg,there is a black and white dog that is standing in the grass with a frisbee in its mouth
13_dog.jpg,there is a dog that is standing in the grass with a frisbee in it's mouth
14_dog.jpg,there is a dog that is standing in the grass with a frisbee in it's mouth
12_dog.jpg,there is a black and white dog sitting on a pile of hay with a frisbee in its mouth
1_dog.jpg,there is a black and white dog that is looking at the camera with a sad look on it's face
18_dog.jpg,there is a dog that is sitting in the grass with a frisbee in it's mouth
3_dog.jpg,there is a black and white dog standing in the middle of a field with a puddle of water
4_dog.jpg,there is a dog that is standing in the grass with its tongue out and it's tongue hanging out
